savivaldybe,rodiklis,metai,metai_menesis,menesis,nedarbas,vid_nedarbas
Ignalinos r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202403,3,12.80,
Ignalinos r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202404,4,12.20,
Ignalinos r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202405,5,11.60,
Ignalinos r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202406,6,12.00,
Ignalinos r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202407,7,12.10,
Ignalinos r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202408,8,12.40,
Ignalinos r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202409,9,12.50,
Ignalinos r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202410,10,12.30,
Ignalinos r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202411,11,12.80,
Ignalinos r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202412,12,12.40,
Jonavos r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202401,1,11.30,10.80
Jonavos r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202402,2,11.30,
Jonavos r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202403,3,11.10,
Jonavos r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202404,4,10.80,
Jonavos r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202405,5,10.50,
Jonavos r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202406,6,10.80,
Jonavos r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202407,7,10.70,
Jonavos r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202408,8,11.10,
Jonavos r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202409,9,10.50,
Jonavos r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202410,10,10.10,
Jonavos r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202411,11,10.50,
Jonavos r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202412,12,10.90,
Joniškio r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202401,1,9.30,7.83
Joniškio r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202402,2,9.50,
Joniškio r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202403,3,9.00,
Joniškio r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202404,4,7.70,
Joniškio r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202405,5,6.90,
Joniškio r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202406,6,6.90,
Joniškio r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202407,7,6.60,
Joniškio r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202408,8,7.10,
Joniškio r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202409,9,7.20,
Joniškio r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202410,10,7.40,
Joniškio r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202411,11,7.80,
Joniškio r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202412,12,8.60,
Jurbarko r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202401,1,10.90,9.31
Jurbarko r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202402,2,10.60,
Jurbarko r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202403,3,10.70,
Jurbarko r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202404,4,9.50,
Jurbarko r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202405,5,8.50,
Jurbarko r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202406,6,9.00,
Jurbarko r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202407,7,8.90,
